Sample,Amplitude(V)
4.700000000000000000e+01,1.829091764575636048e-01
4.800000000000000000e+01,1.858595923112052739e-01
4.900000000000000000e+01,1.888100081648469430e-01
5.000000000000000000e+01,1.917604240184885844e-01
5.100000000000000000e+01,1.943960089121380130e-01
5.200000000000000000e+01,1.965473538054183789e-01
5.300000000000000000e+01,1.986986986986987447e-01
5.400000000000000000e+01,2.008500435919791383e-01
5.500000000000000000e+01,2.030013884852595041e-01
5.600000000000000000e+01,2.051527333785398699e-01
5.700000000000000000e+01,2.073040782718202357e-01
5.800000000000000000e+01,2.094554231651006293e-01
5.900000000000000000e+01,2.116067680583809951e-01
6.000000000000000000e+01,2.137581129516613609e-01
6.100000000000000000e+01,2.159094578449417545e-01
6.200000000000000000e+01,2.180608027382221203e-01
6.300000000000000000e+01,2.202121476315024862e-01
6.400000000000000000e+01,2.223634925247828797e-01
6.500000000000000000e+01,2.245148374180632456e-01
6.600000000000000000e+01,2.269527592108237513e-01
6.700000000000000000e+01,2.298212190685308964e-01
6.800000000000000000e+01,2.326896789262380694e-01
6.900000000000000000e+01,2.355581387839452423e-01
7.000000000000000000e+01,2.384265986416524152e-01
7.100000000000000000e+01,2.412950584993595604e-01
7.200000000000000000e+01,2.441635183570667333e-01
7.300000000000000000e+01,2.470319782147739063e-01
7.400000000000000000e+01,2.499004380724810792e-01
7.500000000000000000e+01,2.527688979301882521e-01
7.600000000000000000e+01,2.556373577878954251e-01
7.700000000000000000e+01,2.585058176456025980e-01
7.800000000000000000e+01,2.613742775033097709e-01
7.900000000000000000e+01,2.642427373610168884e-01
8.000000000000000000e+01,2.671111972187240613e-01
8.100000000000000000e+01,2.699796570764312342e-01
8.200000000000000000e+01,2.728481169341384072e-01
8.300000000000000000e+01,2.757165767918455801e-01
8.400000000000000000e+01,2.785850366495527530e-01
8.500000000000000000e+01,2.814534965072599260e-01
8.600000000000000000e+01,2.843219563649670989e-01
8.700000000000000000e+01,2.871904162226742718e-01
8.800000000000000000e+01,2.900588760803813893e-01
8.900000000000000000e+01,2.934482869966740792e-01
9.000000000000000000e+01,2.968904388259226979e-01
9.100000000000000000e+01,3.003325906551713165e-01
9.200000000000000000e+01,3.037747424844199351e-01
9.300000000000000000e+01,3.072168943136685537e-01
9.400000000000000000e+01,3.106590461429171723e-01
9.500000000000000000e+01,3.141011979721657910e-01
9.600000000000000000e+01,3.175433498014144651e-01
9.700000000000000000e+01,3.209855016306630837e-01
9.800000000000000000e+01,3.241637951315372024e-01
9.900000000000000000e+01,3.271142109851788993e-01
1.000000000000000000e+02,3.300646268388205407e-01
1.010000000000000000e+02,3.330150426924621820e-01
1.020000000000000000e+02,3.359654585461038234e-01
1.030000000000000000e+02,3.389158743997454648e-01
1.040000000000000000e+02,3.418662902533871617e-01
1.050000000000000000e+02,3.448167061070288031e-01
1.060000000000000000e+02,3.477671219606704445e-01
1.070000000000000000e+02,3.507175378143120303e-01
1.080000000000000000e+02,3.536679536679537827e-01
1.090000000000000000e+02,3.566183695215954241e-01
1.100000000000000000e+02,3.595687853752370655e-01
1.110000000000000000e+02,3.623655913978494625e-01
1.120000000000000000e+02,3.649472052697859681e-01
1.130000000000000000e+02,3.675288191417224737e-01
1.140000000000000000e+02,3.701104330136588683e-01
1.150000000000000000e+02,3.726920468855952628e-01
1.160000000000000000e+02,3.752736607575317684e-01
1.170000000000000000e+02,3.778552746294682185e-01
1.180000000000000000e+02,3.804368885014046131e-01
1.190000000000000000e+02,3.829054861312925495e-01
1.200000000000000000e+02,3.853641660093273247e-01
1.210000000000000000e+02,3.878228458873620998e-01
1.220000000000000000e+02,3.902815257653967640e-01
1.230000000000000000e+02,3.927402056434314837e-01
1.240000000000000000e+02,3.951988855214662033e-01
1.250000000000000000e+02,3.976575653995009785e-01
1.260000000000000000e+02,4.001162452775356981e-01
1.270000000000000000e+02,4.025749251555703623e-01
1.280000000000000000e+02,4.050336050336051374e-01
1.290000000000000000e+02,4.074922849116399126e-01
1.300000000000000000e+02,4.099509647896746323e-01
1.310000000000000000e+02,4.124096446677092964e-01
1.320000000000000000e+02,4.151041363944590890e-01
1.330000000000000000e+02,4.178578578578580061e-01
1.340000000000000000e+02,4.206115793212568676e-01
1.350000000000000000e+02,4.233653007846557292e-01
1.360000000000000000e+02,4.261190222480545908e-01
1.370000000000000000e+02,4.288727437114535079e-01
1.380000000000000000e+02,4.316264651748523140e-01
1.390000000000000000e+02,4.343801866382512311e-01
1.400000000000000000e+02,4.371339081016500372e-01
1.410000000000000000e+02,4.401821176014724668e-01
1.420000000000000000e+02,4.436242694307210299e-01
1.430000000000000000e+02,4.470664212599696485e-01
1.440000000000000000e+02,4.505085730892182116e-01
1.450000000000000000e+02,4.539507249184668303e-01
1.460000000000000000e+02,4.573928767477153379e-01
1.470000000000000000e+02,4.589880202783427898e-01
1.480000000000000000e+02,4.601354042214256257e-01
1.490000000000000000e+02,4.612827881645085171e-01
1.500000000000000000e+02,4.624301721075913529e-01
1.510000000000000000e+02,4.635775560506741888e-01
1.520000000000000000e+02,4.651425619167553482e-01
1.530000000000000000e+02,4.685847137460040224e-01
1.540000000000000000e+02,4.720268655752526410e-01
1.550000000000000000e+02,4.754690174045013706e-01
1.560000000000000000e+02,4.789111692337499337e-01
1.570000000000000000e+02,4.823533210629985524e-01
1.580000000000000000e+02,4.838709677419354982e-01
1.590000000000000000e+02,4.838709677419354982e-01
1.600000000000000000e+02,4.838709677419354982e-01
1.610000000000000000e+02,4.838709677419354982e-01
1.620000000000000000e+02,4.903225806451612101e-01
1.630000000000000000e+02,4.903225806451612101e-01
1.640000000000000000e+02,4.967741935483871440e-01
1.650000000000000000e+02,5.032258064516128560e-01
1.660000000000000000e+02,5.032258064516128560e-01
1.670000000000000000e+02,5.025799993541928412e-01
